date,ticker
2023-09-29,ADANIENT.NS
2023-09-29,ADANIPORTS.NS
2023-09-29,APOLLOHOSP.NS
2023-09-29,ASIANPAINT.NS
2023-09-29,AXISBANK.NS
2023-09-29,BAJAJ-AUTO.NS
2023-09-29,BAJAJFINSV.NS
2023-09-29,BAJFINANCE.NS
2023-09-29,BHARTIARTL.NS
2023-09-29,BPCL.NS
2023-09-29,BRITANNIA.NS
2023-09-29,CIPLA.NS
2023-09-29,COALINDIA.NS
2023-09-29,DIVISLAB.NS
2023-09-29,DRREDDY.NS
2023-09-29,EICHERMOT.NS
2023-09-29,GRASIM.NS
2023-09-29,HCLTECH.NS
2023-09-29,HDFCBANK.NS
2023-09-29,HDFCLIFE.NS
2023-09-29,HEROMOTOCO.NS
2023-09-29,HINDALCO.NS
2023-09-29,HINDUNILVR.NS
2023-09-29,ICICIBANK.NS
2023-09-29,ITC.NS
2023-09-29,INDUSINDBK.NS
2023-09-29,INFY.NS
2023-09-29,JSWSTEEL.NS
2023-09-29,KOTAKBANK.NS
2023-09-29,LARSENTOUBRO.NS
2023-09-29,LTIM.NS
2023-09-29,M&M.NS
2023-09-29,MARUTI.NS
2023-09-29,NESTLEIND.NS
2023-09-29,NTPC.NS
2023-09-29,ONGC.NS
2023-09-29,POWERGRID.NS
2023-09-29,RELIANCE.NS
2023-09-29,SBILIFE.NS
2023-09-29,SBIN.NS
2023-09-29,SUNPHARMA.NS
2023-09-29,TATACONSUM.NS
2023-09-29,TATAMOTORS.NS
2023-09-29,TATASTEEL.NS
2023-09-29,TCS.NS
2023-09-29,TECHM.NS
2023-09-29,TITAN.NS
2023-09-29,ULTRACEMCO.NS
2023-09-29,SHRIRAMFIN.NS
2023-09-29,WIPRO.NS
2024-03-28,ADANIENT.NS
2024-03-28,ADANIPORTS.NS
2024-03-28,APOLLOHOSP.NS
2024-03-28,ASIANPAINT.NS
2024-03-28,AXISBANK.NS
2024-03-28,BAJAJ-AUTO.NS
2024-03-28,BAJAJFINSV.NS
2024-03-28,BAJFINANCE.NS
2024-03-28,BHARTIARTL.NS
2024-03-28,BPCL.NS
2024-03-28,BRITANNIA.NS
2024-03-28,CIPLA.NS
2024-03-28,COALINDIA.NS
2024-03-28,DIVISLAB.NS
2024-03-28,DRREDDY.NS
2024-03-28,EICHERMOT.NS
2024-03-28,GRASIM.NS
2024-03-28,HCLTECH.NS
2024-03-28,HDFCBANK.NS
2024-03-28,HDFCLIFE.NS
2024-03-28,HEROMOTOCO.NS
2024-03-28,HINDALCO.NS
2024-03-28,HINDUNILVR.NS
2024-03-28,ICICIBANK.NS
2024-03-28,ITC.NS
2024-03-28,INDUSINDBK.NS
2024-03-28,INFY.NS
2024-03-28,JIOFIN.NS
2024-03-28,JSWSTEEL.NS
2024-03-28,KOTAKBANK.NS
2024-03-28,LARSENTOUBRO.NS
2024-03-28,LTIM.NS
2024-03-28,M&M.NS
2024-03-28,MARUTI.NS
2024-03-28,NESTLEIND.NS
2024-03-28,NTPC.NS
2024-03-28,ONGC.NS
2024-03-28,POWERGRID.NS
2024-03-28,RELIANCE.NS
2024-03-28,SBILIFE.NS
2024-03-28,SBIN.NS
2024-03-28,SHRIRAMFIN.NS
2024-03-28,SUNPHARMA.NS
2024-03-28,TATACONSUM.NS
2024-03-28,TATAMOTORS.NS
2024-03-28,TATASTEEL.NS
2024-03-28,TCS.NS
2024-03-28,TECHM.NS
2024-03-28,TITAN.NS
2024-03-28,ULTRACEMCO.NS
2024-03-28,WIPRO.NS
2024-09-30,ADANIENT.NS
2024-09-30,ADANIPORTS.NS
2024-09-30,APOLLOHOSP.NS
2024-09-30,ASIANPAINT.NS
2024-09-30,AXISBANK.NS
2024-09-30,BAJAJ-AUTO.NS
2024-09-30,BAJAJFINSV.NS
2024-09-30,BAJFINANCE.NS
2024-09-30,BEL.NS
2024-09-30,BHARTIARTL.NS
2024-09-30,BPCL.NS
2024-09-30,BRITANNIA.NS
2024-09-30,CIPLA.NS
2024-09-30,COALINDIA.NS
2024-09-30,DRREDDY.NS
2024-09-30,EICHERMOT.NS
2024-09-30,GRASIM.NS
2024-09-30,HCLTECH.NS
2024-09-30,HDFCBANK.NS
2024-09-30,HDFCLIFE.NS
2024-09-30,HEROMOTOCO.NS
2024-09-30,HINDALCO.NS
2024-09-30,HINDUNILVR.NS
2024-09-30,ICICIBANK.NS
2024-09-30,ITC.NS
2024-09-30,INDUSINDBK.NS
2024-09-30,INFY.NS
2024-09-30,JIOFIN.NS
2024-09-30,JSWSTEEL.NS
2024-09-30,KOTAKBANK.NS
2024-09-30,LARSENTOUBRO.NS
2024-09-30,M&M.NS
2024-09-30,MARUTI.NS
2024-09-30,NESTLEIND.NS
2024-09-30,NTPC.NS
2024-09-30,ONGC.NS
2024-09-30,POWERGRID.NS
2024-09-30,RELIANCE.NS
2024-09-30,SBILIFE.NS
2024-09-30,SBIN.NS
2024-09-30,SHRIRAMFIN.NS
2024-09-30,SUNPHARMA.NS
2024-09-30,TATACONSUM.NS
2024-09-30,TATAMOTORS.NS
2024-09-30,TATASTEEL.NS
2024-09-30,TCS.NS
2024-09-30,TECHM.NS
2024-09-30,TITAN.NS
2024-09-30,TRENT.NS
2024-09-30,ULTRACEMCO.NS
2024-09-30,WIPRO.NS
2025-03-31,ADANIENT.NS
2025-03-31,ADANIPORTS.NS
2025-03-31,APOLLOHOSP.NS
2025-03-31,ASIANPAINT.NS
2025-03-31,AXISBANK.NS
2025-03-31,BAJAJ-AUTO.NS
2025-03-31,BAJAJFINSV.NS
2025-03-31,BAJFINANCE.NS
2025-03-31,BEL.NS
2025-03-31,BHARTIARTL.NS
2025-03-31,BPCL.NS
2025-03-31,BRITANNIA.NS
2025-03-31,CIPLA.NS
2025-03-31,COALINDIA.NS
2025-03-31,DRREDDY.NS
2025-03-31,EICHERMOT.NS
2025-03-31,GRASIM.NS
2025-03-31,HCLTECH.NS
2025-03-31,HDFCBANK.NS
2025-03-31,HDFCLIFE.NS
2025-03-31,HEROMOTOCO.NS
2025-03-31,HINDALCO.NS
2025-03-31,HINDUNILVR.NS
2025-03-31,ICICIBANK.NS
2025-03-31,ITC.NS
2025-03-31,INDUSINDBK.NS
2025-03-31,INFY.NS
2025-03-31,JIOFIN.NS
2025-03-31,JSWSTEEL.NS
2025-03-31,KOTAKBANK.NS
2025-03-31,LARSENTOUBRO.NS
2025-03-31,M&M.NS
2025-03-31,MARUTI.NS
2025-03-31,NESTLEIND.NS
2025-03-31,NTPC.NS
2025-03-31,ONGC.NS
2025-03-31,POWERGRID.NS
2025-03-31,RELIANCE.NS
2025-03-31,SBILIFE.NS
2025-03-31,SBIN.NS
2025-03-31,SHRIRAMFIN.NS
2025-03-31,SUNPHARMA.NS
2025-03-31,TATACONSUM.NS
2025-03-31,TATAMOTORS.NS
2025-03-31,TATASTEEL.NS
2025-03-31,TCS.NS
2025-03-31,TECHM.NS
2025-03-31,TITAN.NS
2025-03-31,TRENT.NS
2025-03-31,ULTRACEMCO.NS
2025-03-31,WIPRO.NS